FISCAL_YEAR,MONTH,YEAR,SHIPMENT_INVC_DATE,CARRIER,PO,SHIPMENT_REF,PRO_INV,SHIPMENT_VOUCHER_ID,VENDOR,VENDOR_INV,PO_VOUCHER_ID,PO_INVC_DATE,PO,ITEM_ID,FREIGHT_TOTAL,PO_ID,TOTAL_QTY_PAID,QTY,UNIT_PRICE,STK_PUR_RATIO,FREIGHT_STK_PUR,MATERIAL_COST,OUTSIDE_COST,TCM_OUT,FRT_VS_OUTSIDE_COST,ACCT_ID
2021,6,2021,6/8/2021,20492,102557,102557,3118214,215242,20100,688227,215166,6/3/2021,102557,LA27,142.65,102557,3560,3560,1.82,0.1214,0.04,0.3301,0.33,0.3286,0.0014,5046
2021,6,2021,6/8/2021,20492,102550,102550WI12 UC35,3115617,215241,2023,532951,215207,6/1/2021,102550,UC35,73.9,102550,96,48,5.74,1,1.54,0.7698,1.54,0.85,0.69,5046
2021,6,2021,6/8/2021,20492,102550,102550WI12 UC35,3115617,215241,2023,532951,215207,6/1/2021,102550,WI12,73.9,102550,96,48,2.14,1,1.54,0.7698,1.54,0.3796,1.1604,5046
2021,5,2021,5/28/2021,20492,101853,101853 ZM248,3105422,215033,8067,51284,215156,5/27/2021,101853,ZM248,145.91,101853,50,50,349,1,2.92,2.9182,2.92,2.7304,0.1896,5046
2021,5,2021,5/28/2021,21368,101944,101944 VK05,17061431,215035,27228,INV00410801,215313,5/27/2021,101944,VK05,2220,101944,20800,20800,0.62,1,0.11,0.1067,0.11,0.0828,0.0272,5046
2021,5,2021,5/28/2021,21368,101944,101944 VK05,17061431,215035,27228,INV00410733,215171,5/26/2021,101944,VK05,2220,101944,83200,20800,0.62,1,0.11,0.0267,0.11,0.0828,0.0272,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,LR03,1295,102392,52350,5403,1.06,0.1067,0.02,0.2318,0.23,1.5,-1.27,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,VE50,1295,102392,52350,1525,0,1,0.02,0.0247,0.02,0.16,-0.14,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,WK76,1295,102392,52350,1233,0,1,0.02,0.0247,0.02,0.004,0.016,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,WM121,1295,102392,69740,69740,0.48,1,0.02,0.0186,0.02,0,0.02,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,WM144,1295,102392,69740,52350,0.48,1,0.02,0.0186,0.02,0.021,-0.001,5046
2021,5,2021,6/8/2021,1145,102392,102392,1220029,215235,1068,311600,214988,5/26/2021,102392,ZO1123,1295,102392,1525,500,0,1,0.85,0.8492,0.85,0.0165,0.8335,5046
2021,5,2021,6/4/2021,20492,102526,102526UC20 TC08,3107887,215136,2023,531726,214986,5/26/2021,102526,TC08,158.06,102526,105,48,30.99,1,1.51,1.5053,1.51,0.2231,1.2869,5046
2021,5,2021,6/4/2021,20492,102526,102526UC20 TC08,3107887,215136,2023,531726,214986,5/26/2021,102526,UC20,158.06,102526,105,105,11.04,1,1.51,1.5053,1.51,0.9331,0.5769,5046
2021,5,2021,6/8/2021,1257,100925,100925 VA21,6354501,215236,18001,16275,214997,5/25/2021,100925,VA21,1465,100925,5760,5760,5.72,1,0.25,0.2543,0.25,0.2257,0.0243,5046
2021,5,2021,6/4/2021,20492,102484,102484 LA52,3103766,215135,20440,91209130,215004,5/25/2021,102484,LA52,73.9,102484,840,840,1.44,0.1206,0.09,0.7295,0.73,0.7024,0.0276,5046
2021,5,2021,5/28/2021,21368,101944,101944 VK05,17061431,215035,27228,INV00410610,215170,5/24/2021,101944,VK05,2220,101944,83200,20800,0.62,1,0.11,0.0267,0.11,0.0828,0.0272,5046
2021,5,2021,5/28/2021,20492,102072,102072 LC08,3101751,215034,20440,91208791,215080,5/24/2021,102072,LC08,73.85,102072,400,400,5.82,0.1316,0.18,1.4029,1.4,1.3577,0.0423,5046
2021,5,2021,5/26/2021,20492,102429,102429LA27 LA32,3095604,214917,20100,687634,214852,5/20/2021,102429,LA27,142.55,102429,3560,3560,1.82,0.1214,0.04,0.3298,0.33,0.3286,0.0014,5046
2021,5,2021,5/26/2021,20492,102429,102429LA27 LA32,3095604,214917,20100,687634,214852,5/20/2021,102429,LA32,142.55,102429,3560,830,2.86,0.1294,0.04,0.3094,0.31,0.4433,-0.1333,5046
2021,5,2021,5/26/2021,20492,102462,102462LA18 LD35,3098192,214919,20100,687788,214850,5/20/2021,102462,LA18,73.85,102462,900,450,2.79,0.1189,0.16,0.6901,1.38,0.4824,0.8976,5046
2021,5,2021,5/26/2021,20492,102462,102462LA18 LD35,3098192,214919,20100,687788,214850,5/20/2021,102462,LD35,73.85,102462,900,450,2.85,0.1127,0.16,0.7281,1.46,0.4761,0.9839,5046
2021,5,2021,6/8/2021,27230,102154,"102,154,102,338",815239972,215247,6151,90054513,214921,5/19/2021,102154,PE01,145.35,102154,55,55,43.09,427.2009,2.64,0.0062,0.01,0,0.01,5046
2021,5,2021,6/8/2021,27230,102154,"102,154,102,338",815239972,215247,6151,90054513,214921,5/19/2021,102154,PE02,145.35,102154,77,77,33.07,468.4406,1.89,0.004,0,0,0,5046
